,S.NO,Time,PM,Quality,RED,GREEN,BLUE,CONTRAST,ENTROPY,BRIGHT
57,58,2,134,2,51.0138931,53.69856016,55.35410667,983.6439564,21.62142091,133.945
58,59,2,134,2,45.08340144,46.91843586,48.28333097,2435.104915,21.60697596,97.0894
59,60,2,134,2,41.55314822,44.0159563,45.49131564,1746.992925,21.6148059,93.58
60,61,0,126,2,54.77039119,58.46461538,61.59467949,1267.854567,17.62103111,144.5238
61,62,0,126,2,33.96375247,39.10767258,43.23282216,288.8445465,17.61636194,109.0436
62,63,0,126,2,56.3839382,59.81580868,62.48546515,433.0076436,17.62438638,164.5238
63,64,0,126,2,45.06015779,49.42100099,52.98283531,164.3471597,17.62408827,146.9502
64,65,0,126,2,23.80896778,29.60248849,34.39334813,1328.414727,17.61587924,120.9622
65,66,0,126,2,46.49218113,50.92982249,54.18273833,1468.974814,17.60248565,175.945
66,67,0,126,2,34.15976331,39.68619329,43.75607331,259.9853637,17.61951266,124.9622
67,68,0,126,2,47.19701183,51.73024655,54.44688034,330.43933,17.62153467,145.4488
68,69,0,126,2,63.06334484,64.12513971,65.18829717,1571.967303,17.61458309,164.3662
69,70,0,126,2,34.37010026,36.97956443,39.8092735,685.8416243,17.60809786,92.5238
70,71,0,126,2,58.2136785,59.40499507,60.41919461,1383.247355,17.62583768,143.5736
71,72,0,126,2,43.13770381,45.05895957,46.69771861,564.2538603,17.61592128,120.0774
72,73,0,126,2,38.80559336,42.92821828,47.03441979,241.556614,17.62730973,141.3164
73,74,0,126,2,37.48021203,42.23386259,46.35007068,246.0320636,17.62729538,139.0436
74,75,0,126,2,51.85861275,56.00330703,59.65887245,271.5500227,17.62577077,177.945
75,76,0,126,2,50.37782051,54.81152202,58.29729126,181.9608344,17.62549861,168.4436
76,77,2,86,1,41.39323471,45.2647403,50.5640549,875.0576566,17.59523356,135.9622
77,78,2,86,1,23.18506082,31.28825773,38.04454799,292.2482504,17.61161248,99.776
78,79,2,86,1,56.89125411,57.21905983,57.36198718,320.9219339,17.623691,163.7662
79,80,2,86,1,45.77759369,47.66436226,48.33279915,1510.341801,17.61792713,108.2098
80,81,0,86,1,36.96233399,41.79091716,45.8959977,883.3482044,17.62188509,150.5238
81,82,2,86,1,40.24176693,44.93548817,48.80086785,985.15616,17.62214034,161.5422
82,83,2,86,1,52.13001479,56.18326923,59.03894313,484.4648482,17.62619994,186
83,84,2,86,1,56.59002959,60.31293228,62.48249343,737.2083708,17.62483296,202.6362
